ids;dominios;Qtd
1;https://goyabu.com;1
10;https://www.comixology.com;1
11;https://mangaplus.shueisha.co.jp;1
12;http://centraldemangas.online;1
13;https://unionleitor.top;1
14;https://animesonlines.site;1
15;https://www.animefreak.tv;1
16;https://animesonline.vip;1
2;https://fategrandorder.fandom.com;1
3;https://mangadex.org;1
4;https://lightnovelbastion.com;1
5;https://yayanimes.net;1
6;https://animesonline.cc;1
7;https://nowanimes.com;1
8;https://mangakakalot.com;1
9;https://mangatoon.mobi;1
