Id_Ext_Dominio;ids;Url_pagina;Endereco_IP;Titulo_pagina;qtd_linhas_Pagina;Idioma_pagina;Data
16.0;16;https://animesonline.vip/;172.67.172.123;Animes Online - Assistir Animes Online Grátis Dublado e Legendado;97239.0;pt;2020-07-07 21:24:23
15.0;15;https://www.animefreak.tv/;172.67.200.238;;;;
;            Animefreak.TV - Watch Anime Online for Free. Subbed & Dubbed;;;;;;
79525.0;        ;en;2020-07-07 21:24:02;;;;
14.0;14;https://animesonlines.site/;104.24.127.154;Animes Online | ✅ Assistir Animes Online Completo Dublado E Legendado ✅;107044.0;pt;2020-07-07 21:23:52
13.0;13;https://unionleitor.top/aws;104.31.13.175;Union Mangás - Leitor Online em Português;57852.0;pt;2020-07-07 21:23:26
12.0;12;http://centraldemangas.online/;51.15.12.43;Central de Mangás;137892.0;pt;2020-07-07 21:22:37
11.0;11;https://mangaplus.shueisha.co.jp/manga_list/all;13.227.106.125;MANGA Plus by SHUEISHA;2932.0;jaen;2020-07-07 21:22:35
10.0;10;https://www.comixology.com/Manga;52.205.64.91;Comics by comiXology;53623.0;en;2020-07-07 21:22:23
9.0;9;https://mangatoon.mobi/pt/genre/comic;47.74.149.252;Mangá - Atualização diária - Manga Toon;36300.0;pt;2020-07-07 21:22:10
8.0;8;https://mangakakalot.com/;104.26.11.209;Mangakakalot - Read Manga Online;129200.0;mi;2020-07-07 21:21:13
7.0;7;https://nowanimes.com/;104.28.16.122;BR Animes - Assistir Animes Online (Now Animes);46852.0;pt;2020-07-07 21:21:00
6.0;6;https://animesonline.cc/tv/;104.28.15.167;Animes Online - Assistir Animes Online Grátis;56187.0;pt;2020-07-07 21:20:45
5.0;5;https://yayanimes.net/;104.27.178.142;Yay Animes - Assistir Animes Online FHD!;64357.0;pt;2020-07-07 21:20:32
4.0;4;https://lightnovelbastion.com/novel/death-mage/;206.189.223.222;Read Death Mage - Light Novel Bastion;301833.0;en;2020-07-07 21:19:14
3.0;3;https://mangadex.org/;185.178.208.185;Home - MangaDex;243468.0;en;2020-07-07 21:18:15
2.0;2;https://fategrandorder.fandom.com/wiki/Fate/Grand_Order_Wikia;151.101.192.194;Fate/Grand Order Wikia | Fandom;495573.0;en;2020-07-07 21:17:24
1.0;1;https://goyabu.com/;104.27.199.91;Goyabu - Assistir Animes Online HD!;133824.0;pt;2020-07-07 21:17:06
