Id_pagina_ex;tags;Qtd
91;div;218
91;img;124
91;a;86
91;span;25
91;br;16
91;script;5
91;meta;4
91;link;3
91;button;2
91;video;2
91;html;1
91;head;1
91;title;1
91;body;1
91;h4;1
91;strong;1
91;p;1
90;script;28
90;link;24
90;meta;18
90;html;1
90;head;1
90;title;1
90;body;1
90;noscript;1
90;iframe;1
90;div;1
89;a;204
89;i;126
89;li;119
89;div;107
89;span;106
89;img;35
89;h3;30
89;p;28
89;b;21
89;script;7
89;meta;6
89;link;6
89;ul;4
89;style;3
89;input;2
89;html;1
89;head;1
89;title;1
89;noscript;1
89;body;1
89;nav;1
89;form;1
89;u;1
89;footer;1
88;div;190
88;a;128
88;span;119
88;img;42
88;li;36
88;b;23
88;meta;13
88;script;10
88;button;9
88;option;6
88;ul;6
88;input;5
88;link;4
88;form;4
88;p;4
88;strong;4
88;label;2
88;select;2
88;html;1
88;head;1
88;title;1
88;style;1
88;body;1
88;br;1
88;h1;1
88;h2;1
88;aside;1
88;footer;1
88;h3;1
87;script;12
87;meta;8
87;span;8
87;div;4
87;a;4
87;link;3
87;section;3
87;li;3
87;html;1
87;head;1
87;title;1
87;style;1
87;body;1
87;header;1
87;ul;1
86;span;457
86;div;393
86;li;347
86;a;202
86;img;177
86;noscript;83
86;ul;74
86;link;37
86;meta;23
86;script;17
86;h3;5
86;p;5
86;style;3
86;input;3
86;template;3
86;label;2
86;h2;2
86;html;1
86;head;1
86;title;1
86;body;1
86;iframe;1
86;button;1
86;ol;1
86;strong;1
86;h1;1
86;footer;1
85;span;322
85;a;143
85;div;134
85;p;82
85;i;78
85;img;35
85;h2;25
85;script;11
85;li;10
85;h4;10
85;meta;9
85;link;9
85;option;6
85;input;2
85;center;2
85;html;1
85;head;1
85;title;1
85;style;1
85;body;1
85;header;1
85;h1;1
85;form;1
85;select;1
85;h3;1
85;ul;1
85;footer;1
85;b;1
84;a;955
84;li;864
84;div;254
84;span;124
84;script;104
84;p;75
84;strong;51
84;link;30
84;header;24
84;article;23
84;img;23
84;h3;23
84;footer;23
84;time;23
84;meta;19
84;br;15
84;iframe;14
84;noscript;12
84;ul;12
84;aside;8
84;style;6
84;nav;6
84;form;3
84;label;3
84;input;3
84;button;3
84;h2;2
84;html;1
84;head;1
84;title;1
84;body;1
84;h1;1
83;span;774
83;a;317
83;div;270
83;p;217
83;i;210
83;img;71
83;h2;71
83;time;70
83;script;42
83;br;37
83;link;20
83;meta;13
83;iframe;10
83;noscript;6
83;li;5
83;h3;5
83;style;2
83;ul;2
83;input;2
83;ins;2
83;html;1
83;head;1
83;title;1
83;body;1
83;header;1
83;h1;1
83;form;1
83;footer;1
82;span;453
82;div;387
82;li;348
82;a;198
82;img;173
82;noscript;81
82;ul;74
82;link;37
82;meta;23
82;script;16
82;h3;5
82;p;5
82;style;3
82;input;3
82;template;3
82;label;2
82;h2;2
82;html;1
82;head;1
82;title;1
82;body;1
82;iframe;1
82;button;1
82;ol;1
82;strong;1
82;h1;1
82;footer;1
81;a;8
81;img;7
81;script;6
81;div;6
81;link;5
81;meta;3
81;input;3
81;style;2
81;small;2
81;html;1
81;head;1
81;title;1
81;body;1
81;h1;1
81;span;1
81;form;1
81;ins;1
81;br;1
80;div;844
80;span;811
80;a;738
80;li;459
80;i;122
80;img;119
80;var;110
80;link;85
80;ul;53
80;button;38
80;script;36
80;p;17
80;input;16
80;br;9
80;source;8
80;meta;7
80;video;4
80;form;3
80;label;3
80;h2;3
80;title;2
80;noscript;2
80;h5;2
80;b;2
80;iframe;2
80;html;1
80;head;1
80;style;1
80;body;1
80;header;1
80;fieldset;1
80;nav;1
80;h1;1
80;section;1
80;ins;1
78;span;454
78;div;390
78;li;348
78;a;200
78;img;175
78;noscript;82
78;ul;74
78;link;37
78;meta;23
78;script;16
78;p;7
78;h3;5
78;style;3
78;input;3
78;template;3
78;label;2
78;h2;2
78;html;1
78;head;1
78;title;1
78;body;1
78;iframe;1
78;button;1
78;ol;1
78;strong;1
78;h1;1
78;footer;1
77;div;775
77;a;294
77;span;163
77;b;161
77;li;143
77;i;141
77;img;125
77;script;40
77;input;21
77;ul;15
77;button;14
77;link;11
77;style;11
77;label;9
77;meta;7
77;ins;7
77;form;6
77;h4;6
77;br;6
77;center;6
77;h2;5
77;iframe;4
77;td;3
77;html;1
77;head;1
77;title;1
77;body;1
77;table;1
77;tbody;1
77;tr;1
77;h1;1
77;noscript;1
76;img;121
76;a;84
76;div;79
76;article;66
76;noscript;52
76;link;14
76;li;5
76;meta;4
76;script;3
76;ul;2
76;html;1
76;head;1
76;title;1
76;body;1
76;header;1
76;nav;1
76;section;1
76;video;1
76;source;1
76;footer;1
75;a;339
75;div;293
75;li;138
75;p;81
75;img;68
75;span;59
75;noscript;36
75;h2;30
75;script;27
75;article;24
75;i;24
75;ul;16
75;meta;15
75;link;13
75;aside;8
75;h4;6
75;header;3
75;br;3
75;style;2
75;title;2
75;form;2
75;input;2
75;button;2
75;html;1
75;head;1
75;body;1
75;hr;1
75;iframe;1
75;ins;1
74;div;655
74;a;294
74;p;159
74;img;121
74;span;110
74;li;55
74;button;19
74;h3;19
74;script;11
74;link;7
74;b;6
74;source;6
74;ul;5
74;input;4
74;meta;3
74;h4;3
74;br;3
74;i;2
74;video;2
74;style;2
74;html;1
74;head;1
74;title;1
74;body;1
74;nav;1
74;form;1
74;footer;1
73;div;531
73;a;204
73;i;179
73;span;104
73;li;63
73;button;53
73;img;51
73;h3;42
73;br;42
