Id_pagina_ex;videos;Qtd
91;https://tiny4k.com//videos.galleries.pornpros.com/tours/tiny4k.com/tours/banners/pool/2020_05_20_T4K_AthenaMay.mp4;1
91;https://tiny4k.com//videos.galleries.pornpros.com/tours/tiny4k.com/tours/banners/pool/2019_11_18_T4K_NaomiSwann.mp4;1
80;https://pt.pornhub.comNone;4
76;http://abuseme.comNone;1
74;http://www.fetishnetwork.comNone;2
60;https://pt.pornhub.comNone;4
53;https://ev.ypncdn.com/201804/07/14497827/480p_750k_14497827/YouPorn_-_blonde-18-year-old-with-natural-huge-tits-gets-fucked-by-college-jock.mp4?rate=350k&burst=1400k&validfrom=1594162500&validto=1594176900&hash=HJowTyKCcy9R0u5Gd9dGLmVpRow%3D;1
52;https://ev.ypncdn.com/201810/05/14890177/480p_750k_14890177/YouPorn_-_nf-busty-curvy-model-seduces-her-artist-for-intense-sex-s5e10.mp4?rate=350k&burst=1400k&validfrom=1594162400&validto=1594176800&hash=lkzQFm1JH8o1cxIM0Y97C4Ak1w8%3D;1
50;https://pornone.comNone;1
39;https://www.redtube.com.brNone;1
22;https://www.pornhub.comNone;4
17;https://fapdu.comNone;4
