Id_pagina_ex;frases;Qtd
93;[];42
93;Últimas notícias;10
93;Vídeos;10
93;Blogs e colunas;8
93;Newsletters;5
93;UOL Play;4
93;UOL Esporte Clube;3
93;Acessar a versão Celular;2
93;SAC;2
93;UOL Mail;2
93;UOL Med;2
93;Bate-papo UOL;2
93;UOL Leia+;2
93;UOL Resolve;2
93;UOL Sexo;2
93;Coronavírus;2
93;Geração P;2
93;Internacional;2
93;Política;2
93;Saúde;2
93;Loterias;2
93;Podcasts;2
93;Mídia e Marketing;2
93;Carros;2
93;Cotações;2
93;Imposto de Renda;2
93;Libertadores;2
93;Brasileirão;2
93;Liga dos Campeões;2
93;Olimpíadas 2020;2
93;Loja de jogos;2
93;Sexo;2
93;Novelas;2
93;Transforma;2
93;Inspira;2
93;Pausa;2
93;Moda;2
93;Últimas;2
93;Em SP, clube reabre com baixa frequência e piscinas fechadas;2
93;Médico de Harvard explica como bares podem ser 'superpropagadores' de covid-19;2
93;Tracker LT 1.0: vale comprar SUV com motor de Onix por R$ 500 a menos?;2
93;a produtora de vídeos do uol;2
93;Siga UOL no YouTube;2
93;UOL Cursos;2
93;Bate-Papo UOL;2
93;Experimente 7 dias!;1
93;Acesse Agora!;1
93;BATE-PAPO;1
93;UOL HOST;1
93;CURSOS;1
93;UOL PLAY;1
93;PAGSEGURO;1
93;EMAIL;1
93;UOL - O melhor conteúdo;1
93;Dólar5,386;1
93;Euro6,067;1
93;Produtos;1
93;Conteúdo Exclusivo;1
93;UOL Segurança Digital;1
93;UOL Assistência Técnica;1
93;UOL Loja de Jogos;1
93;UOL Playkids;1
93;UOL Dieta;1
93;UOL WI-FI;1
93;UOL Host;1
93;UOL Meu Negócio;1
93;Assine UOL;1
93;4003-6118 capitais 0800 703 3000 demais localidades;1
93;Assine e tenha acesso ilimitado ao conteúdo exclusivo e a produtos UOL;1
93;Ao vivo;1
93;Sintomas;1
93;Prevenção;1
93;Tratamentos;1
93;Mudanças no cotidiano;1
93;Saúde mental;1
93;Auxílio Emergencial;1
93;Notícias;1
93;Cotidiano;1
93;Educação;1
93;UOL Confere;1
93;Newsletter Resumo do dia;1
93;Opinião;1
93;Mega Sena;1
93;Quina;1
93;Lotofácil;1
93;Lotomania;1
93;Outras loterias;1
93;Baixo Clero;1
93;Ficha Criminal;1
93;Maratona;1
93;Posse de Bola;1
93;Sexoterapia;1
93;UOL Entrevista;1
93;UOL Líderes;1
93;UOL Vê TV;1
93;Fora de Série;1
93;Retrato;1
93;MOV.doc;1
93;Mais vídeos;1
93;Avaliação;1
93;Meu Carro;1
93;Mobilidade;1
93;Motos;1
93;Lançamentos e Mercado;1
93;Segredos Automotivos;1
93;Tabela Fipe;1
93;Avaliação UOL Carros;1
93;Duelo;1
93;Meu Carro, Minha Vida;1
93;PitsTOP;1
93;Deu ruim;1
93;Séloko Tio!;1
93;Os carros de...;1
93;Economia;1
93;Empreendedorismo;1
93;Empregos;1
93;Finanças Pessoais;1
93;Guia de Economia;1
93;Líderes;1
93;Reforma da Previdência;1
93;UOL Economia Explica;1
93;Dólar;1
93;Euro;1
93;Outras moedas;1
93;Bolsa de Valores;1
93;Dúvidas do IR 2020;1
93;Download do programa;1
93;Folha;1
93;Esporte;1
93;Futebol;1
93;Futebol Muleke;1
93;Jogos do dia;1
93;Mercado da Bola;1
93;Copa do Brasil;1
93;Paulista;1
93;Carioca;1
93;Série B;1
93;Mais campeonatos;1
93;UOL de Primeira;1
93;Fórmula 1;1
93;MMA;1
93;Basquete;1
93;Vôlei;1
93;Tênis;1
93;Tênis - Jogos de hoje;1
93;Reportagens especiais;1
93;Minha História;1
93;Athletico;1
93;Atletico-MG;1
93;Atlético-GO;1
93;Bahia;1
93;Botafogo;1
93;Red Bull Bragantino;1
93;Ceará;1
93;Chapecoense;1
93;Corinthians;1
93;Coritiba;1
93;Cruzeiro;1
93;Flamengo;1
93;Fluminense;1
93;Fortaleza;1
93;Grêmio;1
93;Goiás;1
93;Palmeiras;1
93;Santos;1
93;São Paulo;1
93;Sport;1
93;Vasco;1
93;Juca Explica;1
93;Quase Atletas;1
93;Futparódias;1
93;Entrevistão UOL Esporte;1
93;Liga das Nações;1
93;Premier League;1
93;La Liga;1
