Id_pagina_ex;palavras;Qtd
93;de;112
93;UOL;71
93;e;60
93;a;43
93;que;34
93;no;33
93;do;33
93;em;33
93;com;27
93;da;26
93;o;25
93;é;23
93;Bolsonaro;22
93;para;21
93;diz;21
93;por;17
93;na;16
93;Últimas;13
93;pandemia;12
93;ao;11
93;notícias;11
93;covid-19;11
93;sobre;11
93;não;11
93;R$;11
93;Vídeos;10
93;se;10
93;mas;10
93;Blogs;9
93;dos;9
93;mais;9
93;como;9
93;O;8
93;colunas;8
93;Brasil;8
93;seu;8
93;um;8
93;contra;7
93;Em;7
93;anos;7
93;as;7
93;-;6
93;Play;6
93;Esporte;6
93;dia;6
93;foi;6
93;está;6
93;à;6
93;Clube;5
93;Newsletters;5
93;A;5
93;vai;5
93;após;5
93;dois;5
93;negócio;5
93;Leia+;4
93;Meu;4
93;Sexo;4
93;Carros;4
93;2020;4
93;Futebol;4
93;Liga;4
93;sem;4
93;nesta;4
93;presidente;4
93;pelo;4
93;SP;4
93;mostra;4
93;pela;4
93;pode;4
93;aos;4
93;tem;4
93;explica;4
93;ser;4
93;mesmo;4
93;ter;4
93;+;4
93;Crie;4
93;Bate-papo;3
93;Loja;3
93;Jogos;3
93;Coronavírus;3
93;Saúde;3
93;Educação;3
93;Opinião;3
93;Quina;3
93;Bola;3
93;Entrevista;3
93;Mídia;3
93;Marketing;3
93;Mais;3
93;vídeos;3
93;Avaliação;3
93;Economia;3
93;Cotações;3
93;Folha;3
93;Corinthians;3
93;Palmeiras;3
93;São;3
93;Paulo;3
93;das;3
93;Ricardo;3
93;Como;3
93;coronavírus;3
93;entrevista;3
93;Brasileira;3
93;crise;3
93;dele;3
93;Mourão;3
93;até;3
93;Após;3
93;mil;3
93;quer;3
93;saída;3
93;fala;3
93;durante;3
93;4;3
93;social;3
93;Médico;3
93;podem;3
93;motor;3
93;esporte;3
93;Com;3
93;Rio;3
93;fotos;3
93;x;3
93;os;3
93;Assista;3
93;Para;3
93;site;3
93;sua;3
93;MEU;3
93;NEGÓCIO;3
93;nos;3
93;EUA;3
93;Curso;3
93;Inglês;3
93;Cursos;3
93;7;2
93;dias!;2
93;Acesse;2
93;Agora!;2
93;Acessar;2
93;versão;2
93;Celular;2
93;PAGSEGURO;2
93;SAC;2
93;melhor;2
93;conteúdo;2
93;Mail;2
93;Med;2
93;Segurança;2
93;Assistência;2
93;Resolve;2
93;Assine;2
93;vivo;2
93;Mudanças;2
93;Geração;2
93;P;2
93;Notícias;2
93;Internacional;2
93;Política;2
93;Loterias;2
93;Outras;2
93;Podcasts;2
93;Baixo;2
93;Clero;2
93;Posse;2
93;Líderes;2
93;TV;2
93;Série;2
93;Mercado;2
93;Minha;2
93;Empreendedorismo;2
93;Guia;2
93;Imposto;2
93;Renda;2
93;Explica;2
93;Dólar;2
93;Euro;2
