Id_pagina_ex;tags;Qtd
93;a;542
93;div;523
93;span;501
93;li;348
93;img;184
93;strong;126
93;h2;101
93;figure;79
93;noscript;69
93;path;69
93;ul;68
93;script;52
93;dd;43
93;link;31
93;svg;29
93;use;29
93;symbol;29
93;meta;28
93;br;23
93;h1;22
93;p;22
93;em;19
93;g;14
93;title;10
93;button;9
93;dl;8
93;article;6
93;stop;6
93;clippath;5
93;i;4
93;dt;4
93;h3;3
93;input;2
93;small;2
93;b;2
93;defs;2
93;lineargradient;2
93;circle;2
93;html;1
93;head;1
93;style;1
93;body;1
93;header;1
93;nav;1
93;hr;1
93;ol;1
93;form;1
93;label;1
93;filter;1
93;feoffset;1
93;fecolormatrix;1
93;fegaussianblur;1
93;feblend;1
